연번,주관대학명,학과(부),주관학과명,학년,교과목번호,분반,교과목명,교과목구분,학점,이론시간,실습시간,시간표,교수명,교양영역명,원어강의,팀티칭,원격강좌여부,수강제한인원,비고
1,본부,,학사과,전학년,EA1101029,001,수목보호학,일반선택,3,3,0,토 11:00-14:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
2,본부,,학사과,전학년,EA1101030,001,트랜스미디어스토리텔링,일반선택,3,3,0,토 18:00-21:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
3,본부,,학사과,전학년,EA1101051,001,생활 속의 반도체,일반선택,3,3,0,"수 09:00-12:00(외부)knu10.or.kr, 토 14:00-17:00(외부)knu10.or.kr",,,,N,Y,20,KNU10
4,본부,,학사과,전학년,EA1101054,001,비유와 우화로 보는 철학 산책,일반선택,3,3,0,토 19:00-22:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
5,본부,,학사과,전학년,EA1101121,001,동양의고전,일반선택,3,3,0,"목 16:00(50)(외부)knu10.or.kr, 토 14:00-17:00(외부)knu10.or.kr",,,,N,Y,20,KNU10
6,본부,,학사과,전학년,EA1101122,001,세계종교입문,일반선택,3,3,0,"목 14:00-17:00(외부)knu10.or.kr, 토 14:00-17:00(외부)knu10.or.kr",,,,N,Y,20,KNU10
7,본부,,학사과,전학년,EA1101123,001,"빅데이터,인공지능과예술",일반선택,1,1,0,"금 18:30(50)(외부)knu10.or.kr, 토 14:00(50)(외부)knu10.or.kr",,,,N,Y,20,KNU10
8,본부,,학사과,전학년,EA1101125,001,빅데이터이해및활용,일반선택,3,3,0,토 16:00-19:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
9,본부,,학사과,전학년,EA1101127,001,세계의문화유산,일반선택,3,3,0,토 18:00-21:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
10,본부,,학사과,전학년,EA1101128,001,"양명학,돌봄과공생의길",일반선택,3,3,0,토 18:00-21:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
11,본부,,학사과,전학년,EA1101129,001,알기쉬운기업살림살이(창업·벤처),일반선택,3,3,0,토 19:00-22:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
12,본부,,학사과,전학년,EA1101135,001,전염병과인류의역사,일반선택,3,3,0,토 10:00-13:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
13,본부,,학사과,전학년,EA1101171,001,광고학원론,일반선택,3,3,0,토 11:00-14:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
14,본부,,학사과,전학년,EA1101172,001,능력검정한국사따라가기,일반선택,3,3,0,토 16:00-19:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
15,본부,,학사과,전학년,EA1101173,001,실용한자와고사성어,일반선택,3,3,0,토 16:00-19:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
16,본부,,학사과,전학년,EA1101175,001,자기조절,일반선택,3,3,0,토 18:00-21:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
17,본부,,학사과,전학년,EA1101200,001,생활구강건강관리,일반선택,3,3,0,"금 09:00(50)(외부)knu10.or.kr, 토 14:00-17:00(외부)knu10.or.kr",,,,N,Y,20,KNU10
18,본부,,학사과,전학년,EA1101203,001,디지털시대 로컬문화 큐레이팅,일반선택,3,3,0,토 15:00-18:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
19,본부,,학사과,전학년,EA1101204,001,예술 감성과 미학,일반선택,3,3,0,토 15:00-18:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
20,본부,,학사과,전학년,EA1101205,001,SNS와 유튜브론 ,일반선택,3,3,0,토 16:00-19:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
21,본부,,학사과,전학년,EA1101207,001,화훼산업론,일반선택,3,3,0,토 16:00-19:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
22,본부,,학사과,전학년,EA1101208,001,마이클샌델이 다시 쓰는 정의란 무엇인가,일반선택,1,1,0,토 17:00(50)(외부)knu10.or.kr,,,,N,Y,50,KNU10
23,본부,,학사과,전학년,EA1101209,001,소비인사이트,일반선택,3,3,0,토 17:00-20:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
24,본부,,학사과,전학년,EA1101255,001,AI를활용한음악만들기,일반선택,2,2,0,토 12:00(100)(외부)knu10.or.kr,,,,N,Y,20,KNU10
25,본부,,학사과,전학년,EA1101256,001,간호학개론,일반선택,2,2,0,토 17:00(100)(외부)knu10.or.kr,,,,N,Y,20,KNU10
26,본부,,학사과,전학년,EA1101258,001,공대생을 위한 기초물리학,일반선택,3,3,0,토 18:00-21:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
27,본부,,학사과,전학년,EA1101259,001,글로벌시대의 세계시민,일반선택,3,3,0,토 10:00-13:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
28,본부,,학사과,전학년,EA1101260,001,사회적 가치와 개인의 자유,일반선택,3,3,0,토 18:00-21:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
29,본부,,학사과,전학년,EA1101261,001,정보기술윤리의 이해,일반선택,3,3,0,토 11:00-14:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
30,본부,,학사과,전학년,EA1200620,001,소비문화,일반선택,3,3,0,토 10:00-13:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
31,본부,,학사과,전학년,EA1200624,001,평화사상과통일의길,일반선택,2,2,0,토 12:00(100)(외부)knu10.or.kr,,,,N,Y,20,KNU10
32,본부,,학사과,전학년,EA1200627,001,한옥개론,일반선택,3,3,0,토 16:00-19:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
33,본부,,학사과,전학년,EA1200629,001,환경문제와윤리,일반선택,2,2,0,토 17:00(100)(외부)knu10.or.kr,,,,N,Y,20,KNU10
34,본부,,학사과,전학년,EA1200651,001,다문화사회의이해,일반선택,3,3,0,토 10:00-13:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
35,본부,,학사과,전학년,EA1200652,001,여행과문화,일반선택,3,3,0,토 10:00-13:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
36,본부,,학사과,전학년,EA1200659,001,분쟁의 세계지리,일반선택,3,3,0,토 15:00-18:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
37,본부,,학사과,전학년,EA1200662,001,중국고대철학,일반선택,3,3,0,토 16:00-19:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
38,본부,,학사과,전학년,EA1200666,001,심리학 START,일반선택,3,3,0,토 18:00-21:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
39,본부,,학사과,전학년,EA1200668,001,우주로의 여행,일반선택,3,3,0,토 19:00-22:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
40,본부,,학사과,전학년,EA1200684,001,고사와 성어의 탐구,일반선택,2,2,0,토 12:00(100)(외부)knu10.or.kr,,,,N,Y,20,KNU10
41,본부,,학사과,전학년,EA1200685,001,무역실무,일반선택,3,3,0,토 17:00-20:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
42,본부,,학사과,전학년,EA1200686,001,불교가 묻고 내가 답한다,일반선택,3,3,0,토 19:00-22:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
43,본부,,학사과,전학년,EA1200689,001,한국지형여행,일반선택,3,3,0,토 19:00-22:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
44,본부,,학사과,전학년,EA1200729,001,산업경영의이해,일반선택,2,2,0,토 12:00(100)(외부)knu10.or.kr,,,,N,Y,20,KNU10
45,본부,,학사과,전학년,EA1200754,001,에듀테크의이해,일반선택,3,3,0,토 15:00-18:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
46,본부,,학사과,전학년,EA1200756,001,로마문화와함께배우는교양라틴어,일반선택,3,3,0,토 19:00-22:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
47,본부,,학사과,전학년,EA1200758,001,리더십,일반선택,3,3,0,토 16:00-19:00(외부)knu10.or.kr,,,,N,Y,20,KNU10
48,본부,,교수학습지원센터,전학년,TL1200228,001,효원학습컨설팅,일반선택,2,2,0,월 13:00(100) 416-B105,최혜경,,,N,N,200,
49,본부,,교수학습지원센터,전학년,TL1200228,002,효원학습컨설팅,일반선택,2,2,0,화 13:00(100) 416-B105,심효진,,,N,N,200,
50,본부,,교수학습지원센터,전학년,TL1200228,003,효원학습컨설팅,일반선택,2,2,0,금 13:00(100) 416-B105,심정미,,,N,N,200,
51,본부,,교수학습지원센터,전학년,TL1200228,004,효원학습컨설팅,일반선택,2,2,0,화 15:00(100) 416-B105,방희원,,,N,N,200,
52,본부,,교수학습지원센터,전학년,TL1200228,005,효원학습컨설팅,일반선택,2,2,0,월 15:00(100) 밀양M03-3153,심정미,,,N,N,100,
53,본부,,취업전략과,전학년,HR1100752,001,진로탐색과 생애설계,일반선택,3,3,0,금 09:00-12:00 514-216-1,김우리,,,N,N,70,
54,본부,,취업전략과,전학년,HR1100752,002,진로탐색과 생애설계,일반선택,3,3,0,금 13:00-16:00 514-216-1,김우리,,,N,N,70,
55,본부,,취업전략과,전학년,HR1100752,003,진로탐색과 생애설계,일반선택,3,3,0,금 09:00-12:00 416-B103,조민경,,,N,N,70,
56,본부,,취업전략과,전학년,HR1100752,004,진로탐색과 생애설계,일반선택,3,3,0,금 13:00-16:00 416-B103,조민경,,,N,N,70,
57,본부,,취업전략과,전학년,HR1100752,005,진로탐색과 생애설계,일반선택,3,3,0,금 10:00-13:00 416-B102,최은경,,,N,N,70,
58,본부,,취업전략과,전학년,HR1100752,006,진로탐색과 생애설계,일반선택,3,3,0,금 13:00-16:00 416-B102,최은경,,,N,N,70,
59,본부,,취업전략과,전학년,HR1100755,001,창의적 문제해결력,일반선택,3,3,0,금 10:00-13:00 514-313,,,,N,N,70,
60,본부,,취업전략과,전학년,HR1100755,002,창의적 문제해결력,일반선택,3,3,0,금 13:00-16:00 514-313,,,,N,N,70,
61,본부,,취업전략과,전학년,HR1200748,001,논리적사고와수리,일반선택,3,3,0,금 10:00-13:00 416-111,우승균,,,N,N,70,
62,본부,,취업전략과,전학년,HR1200748,002,논리적사고와수리,일반선택,3,3,0,금 13:00-16:00 416-111,우승균,,,N,N,70,
63,본부,,취업전략과,전학년,HR1200749,001,취업실전전략(I)-자기소개서및면접준비법,일반선택,3,3,0,금 09:00-12:00 416-B104,남미정,,,N,N,50,
64,본부,,취업전략과,전학년,HR1200749,002,취업실전전략(I)-자기소개서및면접준비법,일반선택,3,3,0,금 13:00-16:00 416-B104,남미정,,,N,N,50,
65,본부,,취업전략과,전학년,HR1200749,003,취업실전전략(I)-자기소개서및면접준비법,일반선택,3,3,0,금 10:00-13:00 105-3215,정해승,,,N,N,50,
66,본부,,취업전략과,전학년,HR1200749,004,취업실전전략(I)-자기소개서및면접준비법,일반선택,3,3,0,금 13:00-16:00 105-3215,정해승,,,N,N,50,
67,본부,,취업전략과,1학년,HR1200112,001,대학생활설계와비전,일반선택,2,2,0,수 16:30(100) 501-311,박종호,,,N,N,40,
68,본부,,취업전략과,1학년,HR1200112,002,대학생활설계와비전,일반선택,2,2,0,월 10:00(100) 602-202,김동식/제갈미,,,Y,N,30,
69,본부,,취업전략과,1학년,HR1200112,003,대학생활설계와비전,일반선택,2,2,0,목 15:00(100) 601-227,서대정,,,N,N,30,
70,본부,,국제협력실,전학년,ZZ1100847,001,외국인학생튜터링봉사(I),일반선택,1,0,6,토 09:00-15:00 209-101,이창환,,,N,N,50,
71,본부,,국제협력실,전학년,ZZ1100848,001,외국인학생튜터링봉사(II),일반선택,1,0,6,토 15:00-21:00 209-101,이창환,,,N,N,50,
72,본부,,국제협력실,전학년,ZZ1101038,001,집중 한국어,일반선택,6,3,3,일 09:00-15:00 209-101,이창환,,,N,N,10,
73,본부,,국제협력실,전학년,ZZ1200258,001,PNU WILL,일반선택,1,1,0,월 12:00(50) 209-101,크리스토퍼 헤네시,,영어,N,N,22,
74,본부,,국제협력실,전학년,ZZ1200258,002,PNU WILL,일반선택,1,1,0,화 12:00(50) 209-101,크리스토퍼 헤네시,,영어,N,N,22,
75,본부,,국제협력실,전학년,ZZ1200258,003,PNU WILL,일반선택,1,1,0,수 12:00(50) 209-101,크리스토퍼 헤네시,,영어,N,N,22,
76,본부,,국제협력실,전학년,ZZ1200258,004,PNU WILL,일반선택,1,1,0,목 12:00(50) 209-101,크리스토퍼 헤네시,,영어,N,N,22,
77,한의학전문대학원,,한의학과,전학년,ZF1200480,001,한국의건강문화,효원창의교양,3,3,0,화 10:00-13:00 416-510,이상재,융합과 창의,,N,N,30,
78,한의학전문대학원,,한의학과,1학년,OM3300663,001,대학한문(I),전공필수,2,2,0,금 14:00(100) 105-3314,류정아,,,N,N,30,
79,한의학전문대학원,,한의학과,1학년,OM3400737,001,기초물리학및실험,전공필수,2,1,2,월 18:00-21:00 308-317,,,,N,N,30,
80,한의학전문대학원,,한의학과,2학년,OM3300660,001,통합의생명과학 및 실험(I),전공필수,3,2,2,목 09:00-13:00 양산Y15-315,고창원,,,N,N,30,
81,한의학전문대학원,,한의학과,2학년,OM3600583,001,동아시아고전강독(I),전공필수,2,2,0,목 14:00(100) 양산Y15-315,류정아/신상원,,,Y,N,30,
82,한의학전문대학원,,한의학과,2학년,OM3400745,001,한의학리더를위한독서토론(I),전공선택,3,3,0,화 09:00-12:00 양산Y15-315,윤영주,,,N,N,15,
83,한의학전문대학원,,한의학과,2학년,OM3400745,002,한의학리더를위한독서토론(I),전공선택,3,3,0,화 09:00-12:00 양산Y15-314,주명수,,,N,N,15,
84,한의학전문대학원,,한의학과,2학년,OM3600586,001,한의학과인공지능,전공선택,3,3,0,수 09:00-12:00 양산Y15-315,권영규,,,N,N,30,
85,한의학전문대학원,,한의학과,3학년,OM2200635,001,생화학(I),전공필수,3,3,0,수 09:00-12:00 양산Y15-314,고창원/최나리,,,Y,N,30,
86,한의학전문대학원,,한의학과,3학년,OM3300662,001,과학적사고와의학연구방법론,전공필수,2,2,0,화 16:00(100) 양산Y15-314,정한솔/김남권,,,Y,N,30,
87,한의학전문대학원,,한의학과,3학년,OM3300665,001,통합의생명과학 및 실험(III),전공필수,3,2,2,목 09:00-13:00 양산Y15-314,최나리,,,N,N,30,
88,한의학전문대학원,,한의학과,3학년,OM3300691,001,보건영양과학,전공필수,3,3,0,화 13:00-16:00 양산Y15-314,전소정,,,N,N,30,
89,한의학전문대학원,,한의학과,3학년,OM3300689,001,건강문화론,전공선택,3,3,0,월 14:00-17:00 양산Y15-314,이상재,,,N,N,30,
90,한의학전문대학원,,한의학과,3학년,OM3400524,001,의료인류학개론,전공선택,3,3,0,수 14:00-17:00 양산Y15-314,박인효,,,N,N,30,
91,치의학전문대학원,,치의학과,전학년,DN3600415,001,세포생물학,전공선택,3,3,0,수 13:00-16:00 양산Y15-206,문정현,,,N,N,50,
92,치의학전문대학원,,치의학과,전학년,DN3600418,001,인지신경과학,전공선택,3,3,0,화 09:00-12:00 양산Y15-206,이지혜,,,N,N,50,
93,치의학전문대학원,,치의학과,전학년,DN3600419,001,영화와의료윤리,전공선택,3,3,0,목 15:00-18:00 양산Y02-524,김성식,,,N,N,50,
94,치의학전문대학원,,치의학과,전학년,DN3600421,001,발생학,전공선택,3,3,0,화 13:00-16:00 양산Y15-206,박봉수,,,N,N,50,
95,치의학전문대학원,,치의학과,3학년,DN3300722,001,의료인문학(II),전공필수,2,2,0,금 13:00(100) 양산Y15-206,김성식,,,N,N,50,
96,치의학전문대학원,,치의학과,3학년,DN3600399,001,치의학리더를위한독서토론(II),전공필수,1.5,1.5,0,수 16:00(75) 양산Y02-203,유미현,,,N,N,21,
97,치의학전문대학원,,치의학과,3학년,DN3600399,002,치의학리더를위한독서토론(II),전공필수,1.5,1.5,0,수 16:00(75) 양산Y02-524,배수경,,,N,N,20,
98,치의학전문대학원,,치의학과,3학년,DN3600400,001,자율주제연구및실습(II),전공필수,3,2,2,"월 13:00-17:00 양산Y02-506, 월 13:00-17:00 양산Y02-507",박혜련/김형식,,,Y,N,14,
99,치의학전문대학원,,치의학과,3학년,DN3600400,002,자율주제연구및실습(II),전공필수,3,2,2,월 15:00-19:00 양산Y02-607,배문경/옥수민,,,Y,N,14,
100,치의학전문대학원,,치의학과,3학년,DN3600400,003,자율주제연구및실습(II),전공필수,3,2,2,"월 13:00-17:00 양산Y02-609, 월 13:00-17:00 양산Y02-610",김철홍/황재준,,,Y,N,14,
101,치의학전문대학원,,치의학과,3학년,DN3600401,001,지역사회연구및봉사,전공필수,3,2,1,금 15:00-18:00 양산Y15-206,박소영,,,Y,N,50,
102,법학전문대학원,,법학과,전학년,LA1200353,068,현대법철학의흐름,일반선택,3,3,0,"월 10:30(75) 608-2211, 수 10:30(75) 608-2211",김수진,,,N,N,35,
103,법학전문대학원,,법학과,전학년,LA1200357,068,기본행정법,일반선택,3,3,0,금 13:00-16:00 609-215,이동건,,,N,N,40,
104,법학전문대학원,,법학과,전학년,LA1200358,068,조세법총론,일반선택,3,3,0,"월 16:30(75) 609-316, 수 16:30(75) 609-316",김정애,,,N,N,40,
105,법학전문대학원,,법학과,전학년,LA1200359,068,민사소송법,일반선택,3,3,0,"화 10:30(75) 609-218, 목 10:30(75) 609-218",송재우,,,N,N,40,
106,법학전문대학원,,법학과,전학년,LA1200366,068,상거래분쟁해결방법,일반선택,3,3,0,"월 10:30(75) 609-218, 수 10:30(75) 609-218",손태우,,,N,N,40,
107,법학전문대학원,,법학과,전학년,LA1200371,068,특허와디자인보호법,일반선택,3,3,0,"월 13:30(75) 609-117, 수 13:30(75) 609-117",강명수,,,N,N,40,
108,법학전문대학원,,법학과,전학년,LA1200374,068,헌법의기초,일반선택,3,3,0,"월 12:00(75) 609-118, 수 12:00(75) 609-118",황동혁,,,N,N,40,
109,법학전문대학원,,법학과,전학년,LA1200375,068,헌법과기본권,일반선택,3,3,0,"화 10:30(75) 609-317, 목 10:30(75) 609-317",조영승,,,N,N,40,
110,법학전문대학원,,법학과,전학년,LA1200779,068,행정절차와행정정보법,일반선택,3,3,0,금 09:00-12:00 609-313,김학수,,,N,N,40,
111,법학전문대학원,,법학과,전학년,LA1500314,068,물권법,일반선택,3,3,0,"화 10:30(75) 609-118, 목 10:30(75) 609-118",윤석찬,,,N,N,40,
112,법학전문대학원,,법학과,전학년,LA1500353,068,민법총칙(I),일반선택,3,3,0,"화 15:00(75) 609-118, 목 15:00(75) 609-118",윤용석,,,N,N,40,
113,법학전문대학원,,법학과,전학년,LA1500353,069,민법총칙(I),일반선택,3,3,0,금 13:30-16:30 609-218,김미경,,,N,N,40,
114,법학전문대학원,,법학과,전학년,LA1500399,068,형법각론,일반선택,3,3,0,"월 15:00(75) 609-317, 수 15:00(75) 609-317",정지훈,,,N,N,40,
115,법학전문대학원,,법학과,전학년,LA2400007,068,판례헌법,일반선택,3,3,0,"화 10:30(75) 609-117, 목 10:30(75) 609-117",정한신,,,N,N,60,
116,법학전문대학원,,법학과,전학년,LA2800001,068,국제법(I),일반선택,3,3,0,"월 13:30(75) 609-317, 수 13:30(75) 609-317",박찬호,,,N,N,40,
117,법학전문대학원,,법학과,전학년,LA2800050,068,형사정책,일반선택,3,3,0,"화 09:00(75) 609-314, 목 09:00(75) 609-314",,,,N,N,40,
118,법학전문대학원,,법학과,전학년,LA2800072,068,지방자치법,일반선택,3,3,0,금 13:00-16:00 609-313,김학수,,,N,N,40,
119,법학전문대학원,,법학과,전학년,LA2800075,068,노동법(I),일반선택,3,3,0,"월 09:00(75) 609-117, 수 09:00(75) 609-117",김수민,,,N,N,40,
120,법학전문대학원,,법학과,전학년,LA2800091,068,회사법,일반선택,3,3,0,"월 10:30(75) 609-117, 수 10:30(75) 609-117",강대섭,,,N,N,40,
121,법학전문대학원,,법학과,전학년,LA9800403,068,국제거래와해상운송법,일반선택,3,3,0,"월 16:30(75) 609-216, 수 16:30(75) 609-216",이정원,,,N,N,40,
122,법학전문대학원,,법학과,전학년,LA9800405,068,창업에필요한법&지식,일반선택,3,3,0,금 09:30-12:30 609-118,윤석찬,,,N,N,40,
123,법학전문대학원,,법학과,전학년,ZF1100832,068,직업과생활노동법,효원균형교양,3,3,0,"월 16:30(75) 609-118, 수 16:30(75) 609-118",,사회와문화,,N,N,40,
124,법학전문대학원,,법학과,전학년,ZF1100833,068,바다위의법률,효원균형교양,3,3,0,"월 13:30(75) 608-2211, 수 13:30(75) 608-2211",이정원,사회와문화,,N,N,35,
125,법학전문대학원,,법학과,전학년,ZF1200218,068,형사소송법의기초,효원균형교양,3,3,0,"월 16:30(75) 609-218, 수 16:30(75) 609-218",김형규,사회와문화,,N,N,50,
126,법학전문대학원,,법학과,전학년,ZF1200403,068,대학생을위한생활법률,효원균형교양,3,3,0,"화 13:30(75) 609-313, 목 13:30(75) 609-313",김민정,사회와문화,,N,N,40,
127,법학전문대학원,,법학과,전학년,ZF1200516,068,스토리텔링민법,효원균형교양,3,3,0,월 18:00-21:00 609-317,김현수,사회와문화,,N,Y,170,원격(비실시간)
128,법학전문대학원,,법학과,전학년,ZF1200708,068,대학생을위한법학입문,효원균형교양,3,3,0,"월 15:00(75) 609-218, 수 15:00(75) 609-218",강명수,사회와문화,,N,N,40,
129,법학전문대학원,,법학과,전학년,ZF1200734,068,공정사회로가는계약법,효원균형교양,3,3,0,목 16:30-19:30 609-317,윤석찬,사회와문화,,N,Y,180,"MOOC,원격(비실시간)"
130,법학전문대학원,,법학과,전학년,ZF9800383,068,사회초년생을위한법,효원균형교양,3,3,0,"화 09:00(75) 609-313, 목 09:00(75) 609-313",김수민,사회와문화,,N,N,40,
131,법학전문대학원,,법학과,전학년,ZF9800390,068,젠더와범죄,효원균형교양,3,3,0,"월 13:30(75) 609-216, 수 13:30(75) 609-216",류화진,사회와문화,,N,N,40,
132,법학전문대학원,,법학과,전학년,ZF1200636,068,민주사회와헌법재판,효원창의교양,3,3,0,"화 12:00(75) 609-118, 목 12:00(75) 609-118",정한신,융합과 창의,,N,N,40,
133,인문대학,,국어국문학과,전학년,ZF1100248,001,한국의문학사상,효원균형교양,3,3,0,"월 15:00(75) 306-313, 수 15:00(75) 306-313",한태문,사상과역사,,N,N,30,
134,인문대학,,국어국문학과,전학년,ZF1100248,002,한국의문학사상,효원균형교양,3,3,0,"월 10:30(75) 306-212, 수 10:30(75) 306-212",허순우,사상과역사,,N,N,30,
135,인문대학,,국어국문학과,전학년,ZF1100248,003,한국의문학사상,효원균형교양,3,3,0,"월 15:00(75) 306-211, 수 15:00(75) 306-211",류속영,사상과역사,,N,N,30,
136,인문대학,,국어국문학과,전학년,ZF1100248,004,한국의문학사상,효원균형교양,3,3,0,"화 10:30(75) 306-408, 목 10:30(75) 306-408",정은영,사상과역사,,N,N,30,
137,인문대학,,국어국문학과,전학년,ZF1100248,005,한국의문학사상,효원균형교양,3,3,0,"월 10:30(75) 306-410, 수 10:30(75) 306-410",조가원,사상과역사,,N,N,30,
138,인문대학,,국어국문학과,전학년,ZF1100248,006,한국의문학사상,효원균형교양,3,3,0,"화 10:30(75) 306-214, 목 10:30(75) 306-214",노경자,사상과역사,,N,N,30,
139,인문대학,,국어국문학과,전학년,ZF1100316,001,문학과영상예술,효원균형교양,3,3,0,금 09:00-12:00 306-313,김려실,문학과예술,,N,N,30,
140,인문대학,,국어국문학과,전학년,ZF1100316,002,문학과영상예술,효원균형교양,3,3,0,"월 13:30(75) 306-212, 수 13:30(75) 306-212",손남훈,문학과예술,,N,N,30,
141,인문대학,,국어국문학과,전학년,ZF1100316,003,문학과영상예술,효원균형교양,3,3,0,"월 12:00(75) 306-409, 수 12:00(75) 306-409",박미라,문학과예술,,N,N,30,
142,인문대학,,국어국문학과,전학년,ZF1100316,004,문학과영상예술,효원균형교양,3,3,0,"화 12:00(75) 306-408, 목 12:00(75) 306-408",백혜린,문학과예술,,N,N,30,
143,인문대학,,국어국문학과,전학년,ZF1100316,200,문학과영상예술,효원균형교양,3,3,0,월 13:30-16:30 밀양M03-3349,류영욱,문학과예술,,N,N,30,
144,인문대학,,국어국문학과,전학년,ZF1100699,001,언어사회와문화,효원균형교양,3,3,0,"화 15:00(75) 306-313, 목 15:00(75) 306-313",권경근,사회와문화,,N,N,30,
145,인문대학,,국어국문학과,전학년,ZF1100699,002,언어사회와문화,효원균형교양,3,3,0,"화 13:30(75) 306-212, 목 13:30(75) 306-212",박소영,사회와문화,,N,N,30,
146,인문대학,,국어국문학과,전학년,ZF1100699,003,언어사회와문화,효원균형교양,3,3,0,"화 15:00(75) 306-212, 목 15:00(75) 306-212",김태우,사회와문화,,N,N,30,
147,인문대학,,국어국문학과,전학년,ZF1100699,004,언어사회와문화,효원균형교양,3,3,0,"화 13:30(75) 306-409, 목 13:30(75) 306-409",김지현,사회와문화,,N,N,30,
148,인문대학,,국어국문학과,전학년,ZF1100699,005,언어사회와문화,효원균형교양,3,3,0,"화 13:30(75) 306-408, 목 13:30(75) 306-408",김석진,사회와문화,,N,N,30,
149,인문대학,,국어국문학과,전학년,ZF1100699,006,언어사회와문화,효원균형교양,3,3,0,"화 15:00(75) 306-214, 목 15:00(75) 306-214",김지현,사회와문화,,N,N,30,
150,인문대학,,국어국문학과,전학년,ZF1100699,200,언어사회와문화,효원균형교양,3,3,0,금 10:00-13:00 밀양M02-2314,손평효,사회와문화,,N,N,30,
151,인문대학,,국어국문학과,1학년,KL1500052,010,국어국문학의기초,전공기초,3,3,0,금 09:00-12:00 405-2103,손남훈,,,N,N,45,
152,인문대학,,국어국문학과,1학년,KL1500545,010,문학의이해,전공기초,3,3,0,"월 09:00(75) 405-2103, 수 09:00(75) 405-2103",손남훈,,,N,N,45,
153,인문대학,,국어국문학과,2학년,KL2300092,010,고전문학자료와해석,전공필수,3,3,0,"월 12:00(75) 306-212, 수 12:00(75) 306-212",허순우,,,N,N,45,
154,인문대학,,국어국문학과,2학년,KL2000004,010,현대소설론,전공선택,3,3,0,"월 15:00(75) 306-212, 수 15:00(75) 306-212",이재봉,,,N,N,30,
155,인문대학,,국어국문학과,2학년,KL2000975,010,현대문학텍스트읽기,전공선택,3,3,0,"화 12:00(75) 306-212, 목 12:00(75) 306-212",류영욱,,,N,N,30,
156,인문대학,,국어국문학과,2학년,KL2300097,010,국어단어의이해,전공선택,3,3,0,"월 13:30(75) 306-201, 수 13:30(75) 306-201",손평효,,,N,N,30,
157,인문대학,,국어국문학과,3학년,KL2300095,010,문예비평,전공필수,3,3,0,"화 09:00(75) 306-501, 목 09:00(75) 306-501",김려실,,,N,N,45,
158,인문대학,,국어국문학과,3학년,KL2700887,010,국어사,전공필수,3,3,0,"화 10:30(75) 306-313, 목 10:30(75) 306-313",권경근,,,N,N,45,
159,인문대학,,국어국문학과,3학년,KL2003027,010,한국학의이해,전공선택,3,3,0,"월 15:00(75) 306-410, 수 15:00(75) 306-410",박수정,,,N,N,30,
160,인문대학,,국어국문학과,3학년,KL2300168,010,국어문장분석,전공선택,3,3,0,"화 15:00(75) 306-408, 목 15:00(75) 306-408",김석진,,,N,N,30,
161,인문대학,,국어국문학과,3학년,KL2300169,010,국어와방언,전공선택,3,3,0,"화 13:30(75) 306-313, 목 13:30(75) 306-313",김태우,,,N,N,30,
162,인문대학,,국어국문학과,3학년,KL2300170,010,문학주제론,전공선택,3,3,0,"화 12:00(75) 306-313, 목 12:00(75) 306-313",정은영,,,N,N,30,
163,인문대학,,국어국문학과,3학년,KL2300171,010,시조와가사,전공선택,3,3,0,"월 13:30(75) 306-313, 수 13:30(75) 306-313",류속영,,,N,N,30,
164,인문대학,,국어국문학과,4학년,KL2003032,010,지역스토리텔링,전공선택,3,3,0,"화 13:30(75) 306-311, 목 13:30(75) 306-311",박수정,,,N,N,30,
